"chamber","month","canopy_gmes","leaf_gmesAvg1","leaf_gmesAvg2","leaf_gmes_sun","leaf_gmes_shH","leaf_gmes_shL","T_treatment","lgCanopy","lgSun","lgShH","lgShL","lgAvg1","lgAvg2"
"C01","Oct",NA,0.171346340375,0.186319007833333,0.186678161,0.21626434275,0.15601451975,"ambient",NA,5.22938606995103,5.37650146846808,5.04994907823881,5.14368689049114,5.22746030049392
"C01","Dec",0.180307593476149,0.210354191916667,0.221297523027778,0.2326110775,0.24318418525,0.188097306333333,"ambient",5.19466424510806,5.4493678636281,5.49381912022268,5.23695941580749,5.34879273813208,5.39950805416914
"C01","Jan",0.138456022251244,0.189980256125,0.189523440527778,0.1760414175,0.188609809333333,0.20391909475,"ambient",4.93055274633255,5.17071929405771,5.23968038015823,5.31772332081713,5.24692015162936,5.24451271358918
"C01","Feb",0.515210339283793,0.135007298125,0.148026531333333,0.15867208025,0.17406499775,0.111342516,"ambient",6.2445752430744,5.06683968420395,5.15942877974935,4.7126111799493,4.90532883716242,4.99739152346369
"C01","Mar",0.174802139606792,NA,NA,NA,NA,NA,"ambient",5.16365470345998,NA,NA,NA,NA,NA
"C01","Apr",0.0589571969621144,NA,NA,NA,NA,NA,"ambient",4.07681170540283,NA,NA,NA,NA,NA
"C02","Oct",0.309957649649122,0.329286232625,0.319701783166667,0.392268274,0.30053288425,0.26630419125,"warmed",5.73643567411155,5.97194597816341,5.70555717976841,5.58463923152442,5.79692738050652,5.7673886336751
"C02","Dec",0.182901443030149,0.127871118,0.155852525625,NA,0.18383393325,0.127871118,"warmed",5.20894744508767,NA,5.21403281339274,4.85102286603972,4.85102286603972,5.04891021156808
"C02","Jan",0.264643350406253,0.149821526625,0.1840384475,0.12032583725,0.25247228925,0.179317216,"warmed",5.57838307199647,4.79020337340307,5.53130149714838,5.18915639384885,5.0094447631955,5.21514468958553
"C02","Feb",0.436308269711038,0.180290529125,0.195779473638889,0.1897074495,0.226757362666667,0.17087360875,"warmed",6.07834903413522,5.24548314606977,5.42388055888338,5.14092415309436,5.19456960040476,5.27698889129605
"C02","Mar",0.416584357416054,0.179865045875,0.181432737916667,0.22378091975,0.184568122,0.135949172,"warmed",6.03208897991274,5.41066753643458,5.21801862026608,4.91228108058549,5.19220682455187,5.20088499502865
"C02","Apr",0.207382844890691,0.111767408975,0.145824115116667,0.0914800632,0.2139375274,0.13205475475,"warmed",5.33456657728607,4.51612106001573,5.36568404436518,4.88321664528914,4.71642000637164,4.98240120450311
"C03","Oct",0.251995316428374,0.18839300375,0.218208330166667,0.20814742,0.277838983,0.1686385875,"ambient",5.52941050173702,5.33824657865665,5.62704174804904,5.12775788948775,5.23853022636781,5.38545024941942
"C03","Dec",0.107128760699782,0.18888345325,0.2006668755,0.22029873375,0.22423372,0.15746817275,"ambient",4.67403148201733,5.39498450594793,5.4126889007562,5.05922336006744,5.24113017538226,5.30164619733784
"C03","Jan",NA,0.164664209875,0.174040849166667,0.183537761,0.19279412775,0.14579065875,"ambient",NA,5.21242042834076,5.26162292398438,4.98217174859202,5.10390830862106,5.15929003698713
"C03","Feb",0.288674663003533,0.208885838625,0.213293486,0.21789855325,0.22210878075,0.199873124,"ambient",5.66530032044669,5.38402960241499,5.40316726523821,5.2976827852439,5.34178787605403,5.36266908586423
"C03","Mar",0.127572896763232,NA,NA,NA,NA,NA,"ambient",4.8486879405373,NA,NA,NA,NA,NA
"C03","Apr",0.21675556264143,NA,NA,NA,NA,NA,"ambient",5.3787702791903,NA,NA,NA,NA,NA
"C04","Oct",0.202163818539094,0.160962181375,0.159133046583333,0.19793146425,0.155474777,0.1239928985,"warmed",5.30907835159909,5.28792083062269,5.04648351267473,4.82022429380375,5.08116943909961,5.06974062328694
"C04","Dec",0.112367020328027,0.108169975375,0.130370985,0.11645846325,0.17477300425,0.0998814875,"warmed",4.72177048095373,4.75753467080414,5.16348801336561,4.60398435817212,4.68370383599125,4.87038411706534
"C04","Jan",NA,0.129513532583333,0.144515294305556,0.1420236965,0.17451881775,0.117003368666667,"warmed",NA,4.95599392043945,5.16203257393725,4.76220272640607,4.86378537439298,4.97338534489654
"C04","Feb",0.118143641440198,0.139720510875,0.144694191333333,0.16786582175,0.15464155225,0.1115752,"warmed",4.77190118449699,5.12316498022889,5.0411098726795,4.71469880302997,4.93964407635193,4.97462249000746
"C04","Mar",0.135344705364081,NA,NA,NA,NA,NA,"warmed",4.90782489718717,NA,NA,NA,NA,NA
"C04","Apr",0.337276563910078,NA,NA,NA,NA,NA,"warmed",5.82090325821304,NA,NA,NA,NA,NA
"C05","Oct",0.573115761070519,0.23110001925,0.23064797625,0.23110001925,0.23019593325,NA,"ambient",6.35108772261125,5.44285060057761,5.43893082997187,NA,5.44285060057761,5.44089263584871
"C05","Dec",0.182281956520015,0.15861584225,0.168714784666667,0.18279097075,0.1889126695,0.13444071375,"ambient",5.20555469993482,5.20834326365351,5.24128484213662,4.90112331190262,5.06648519229549,5.12820962451843
"C05","Jan",0.388234719719755,0.217236362125,0.203205383166667,0.20930733625,0.17514342525,0.225165388,"ambient",5.96161010444748,5.34380368019935,5.16560521111421,5.41683518995954,5.3809859871463,5.31421720731536
"C05","Feb",NA,0.173392821625,0.18165780375,0.23851120725,0.198187768,0.108274436,"ambient",NA,5.47441629979041,5.28921490455246,4.68466907812845,5.15555966570983,5.20212471810778
"C05","Mar",0.456551234665401,0.167079068875,0.199086294416667,0.2078195105,0.2631007455,0.12633862725,"ambient",6.12370092739645,5.33666996501801,5.57253702156561,4.83896581988992,5.11846716668431,5.29373837101447
"C05","Apr",0.30812715112663,0.1150867873,0.134527833533333,0.1205946448,0.173409926,0.1095789298,"ambient",5.73051252611662,4.79243487866372,5.15565830607604,4.69664510968185,4.74568651591531,4.90177111840088
"C06","Oct",0.380755954829829,0.21838892225,0.21977567325,0.275537658,0.22254917525,0.1612401865,"warmed",5.94215863138988,5.61872430890696,5.40514808954621,5.08289509490917,5.3862775202858,5.39260735909281
"C06","Dec",0.0886692756874787,0.1312311635,0.151370255625,NA,0.17150934775,0.1312311635,"warmed",4.48491344472743,NA,5.14463777095151,4.87696037498182,4.87696037498182,5.01972885951586
"C06","Jan",0.258658118843403,0.10569544325,0.141008001055556,0.073627827,0.211633116666667,0.1377630595,"warmed",5.5555071852606,4.29902303851813,5.3548541937245,4.92553524934686,4.66056178172932,4.94881663384309
"C06","Feb",0.151663015060623,0.164340706,0.169884424416667,0.156724215666667,0.18097186125,0.171957196333333,"warmed",5.02166105346963,5.05448767262792,5.19834155647306,5.1472455873159,5.10194174846558,5.13511834947057
"C06","Mar",0.0746964351088895,NA,NA,NA,NA,NA,"warmed",4.31343236822744,NA,NA,NA,NA,NA
"C06","Apr",0.107237880558035,NA,NA,NA,NA,NA,"warmed",4.67504954963306,NA,NA,NA,NA,NA
"C07","Oct",0.457083513538647,0.178958586375,0.182879336,0.20729189375,0.19072083525,0.150625279,"ambient",6.12486611717171,5.33412791472153,5.25081076332419,5.01479515652536,5.18715441803914,5.20882656924376
"C07","Dec",0.222373480101518,NA,0.25390643375,NA,0.25390643375,NA,"ambient",5.40435831111843,NA,5.53696582809026,NA,NA,5.53696582809026
"C07","Jan",NA,0.147204667166667,0.164211603944444,0.169353422333333,0.1982254775,0.125055912,"ambient",NA,5.13198778770047,5.28940515803436,4.82876093329527,4.99182391208743,5.10115586409775
"C07","Feb",1.09653969680707,0.209510354666667,0.202891690944444,0.250533049333333,0.1896543635,0.16848766,"ambient",6.99991477040105,5.52359084528887,5.24520327604317,5.12686251268928,5.34477316375733,5.31267229451194
"C07","Mar",0.387860005781188,0.120449723,0.130218837222222,0.149571873,0.149757065666667,0.091327573,"ambient",5.96064446467344,5.00777703315751,5.00901441896539,4.51445274638794,4.79123242934881,4.86921639843558
"C07","Apr",0.299789759863458,0.19216194225,0.2036527261,0.2084664485,0.2266342938,0.175857436,"ambient",5.70308142852563,5.33977810982486,5.4233376778315,5.1696736440652,5.25833846574312,5.31641622020664
"C08","Oct",0.343695215031387,0.163311424375,0.176546874166667,0.14698014575,0.20301777375,0.179642703,"warmed",5.83975526182518,4.99029751473175,5.31329353062775,5.19096989486652,5.09565895695987,5.17358641712939
"C08","Dec",0.140770536698326,0.0918255219166667,0.124284256777778,0.1115392825,0.1892017265,0.0721117613333333,"warmed",4.94713116542283,4.71437683827082,5.24281378184041,4.27821715627637,4.51989027550844,4.8225713354492
"C08","Jan",NA,0.1400438475,0.1642026555,NA,0.1883614635,0.1400438475,"warmed",NA,NA,5.2383627950415,4.94195557000211,4.94195557000211,5.10110136923835
"C08","Feb",0.33546482430182,0.1467999135,0.1641773745,0.162019316,0.1989322965,0.131580511,"warmed",5.8155171053169,5.08771556269241,5.29296454824405,4.87961891521924,4.98907052694318,5.10094739519766
"C08","Mar",0.162622695069541,NA,NA,NA,NA,NA,"warmed",5.09143276344732,NA,NA,NA,NA,NA
"C08","Apr",0.322591260146624,NA,NA,NA,NA,NA,"warmed",5.77638607340416,NA,NA,NA,NA,NA
"C09","Oct",0.453671618635068,0.1526669775,0.167889665916667,0.17681362725,0.19833504275,0.12852032775,"ambient",6.11737362935744,5.17509622443913,5.28995773574794,4.85608708443115,5.0282589314702,5.12330701315215
"C09","Dec",0.0854741529165943,NA,0.1912252325,NA,0.1912252325,NA,"ambient",4.44821402517025,NA,5.2534519610524,NA,NA,5.2534519610524
"C09","Jan",NA,0.117868555,0.15072034275,0.11360787175,0.21642391825,0.12212923825,"ambient",NA,4.73275279746031,5.37723906882205,4.80507981395729,4.76957006289465,5.01542608490986
"C09","Feb",0.525426294502785,0.13614090125,0.148736865166667,0.11300619475,0.173928793,0.15927560775,"ambient",6.26420992263559,4.7274426380062,5.15864597982259,5.07063608372279,4.9136903880214,5.00217873912638
"C09","Mar",0.298315988781839,0.106647367208333,0.134174900138889,0.11562000575,0.189229966,0.0976747286666667,"ambient",5.69815328975522,4.75030900138621,5.24296302674042,4.5816428630173,4.66952775833354,4.89914417380242
"C09","Apr",0.141371045950496,0.15662418625,0.1478051,0.2244299335,0.1301669275,0.088818439,"ambient",4.95138796552524,5.41356355824618,4.86881768445085,4.48659427483899,5.05384921767201,4.99589451400809
"C10","Oct",0.339818337637668,0.18163238675,0.177255810666667,0.1137655615,0.1685026585,0.249499212,"warmed",5.82841117375485,4.7341398528698,5.12695152711603,5.51945575686995,5.20198479140066,5.17759394719743
"C10","Dec",0.230340983032276,0.1498467865,0.16797824425,0.18145123775,0.20424115975,0.11824233525,"warmed",5.43956074597619,5.20098695507423,5.31930145128569,4.77273620708943,5.00961334875462,5.1238344725057
"C10","Jan",0.100686804856891,0.158229688375,0.162830465166667,0.132355624,0.17203201875,0.18410375275,"warmed",4.61201475694704,4.88549242115903,5.14768061501192,5.21549947233328,5.06404770128574,5.09270956853473
"C10","Feb",0.234478528473181,0.134848535958333,0.160034227222222,0.139784907666667,0.21040560975,0.12991216425,"warmed",5.45736402068003,4.9401048673673,5.34903714281801,4.86685856247937,4.90415219271059,5.07538771249507
"C10","Mar",0.252251425877395,0.240023113333333,0.213168622166667,0.240023113333333,0.186314131,NA,"warmed",5.5304263118536,5.48073522426046,5.22743412550933,NA,5.48073522426046,5.36208350588181
"C10","Apr",0.129723533500935,0.1485980135,0.162468925916667,0.1709673508,0.19021075075,0.1262286762,"warmed",4.86540552051413,5.14147260727886,5.24813267191033,4.83809515250389,5.00124476409202,5.09048675835573
"C11","Oct",NA,0.230525738625,0.228279157333333,0.25611327725,0.22378599475,0.2049382,"ambient",NA,5.54561983586787,5.41069021460777,5.32270847027454,5.44036252051941,5.43056925428853
"C11","Dec",0.11460385723362,0.134421082375,0.158134966583333,0.1292138735,0.205562735,0.13962829125,"ambient",4.74148146194825,4.86146896561464,5.32575126715324,4.93898382917959,4.90097727869658,5.06344888727151
"C11","Jan",0.152674083325135,0.0904334909583333,0.127816914638889,0.0782622876666667,0.202583762,0.10260469425,"ambient",5.02830547499839,4.36006584797612,5.31115344052753,4.63088368461401,4.50461467399194,4.8505988856026
"C11","Feb",0.230803212873721,0.1734922045,0.1665601975,0.18605428125,0.1526961835,0.16093012775,"ambient",5.44156545513376,5.22603846581516,5.02845021846103,5.08097028165349,5.15613266754176,5.11535679062484
"C11","Mar",0.218644348036479,NA,NA,NA,NA,NA,"ambient",5.38744642816045,NA,NA,NA,NA,NA
"C12","Oct",0.407927919323764,0.21856230275,0.213886121666667,0.285095217,0.2045337595,0.1520293885,"warmed",6.01109049047237,5.65282321920827,5.32073304498772,5.0240738475522,5.38707111233534,5.36544373163964
"C12","Dec",0.0934195625378435,0.105553894,0.1178335105,0.137679578,0.1423927435,0.07342821,"warmed",4.53710077231673,4.92492908682014,4.95858903911203,4.29630819420875,4.65922166608184,4.76927270020346
"C12","Jan",NA,0.111965442,0.154022185125,NA,0.19607892825,0.111965442,"warmed",NA,NA,5.27851727332365,4.71819027011122,4.71819027011122,5.03709665129134
"C12","Feb",NA,0.148443080375,0.170792844166667,0.163327821,0.21549237175,0.13355833975,"warmed",NA,5.09575935288746,5.37292551100545,4.89453838425545,5.00020158762758,5.1404513844971
"C12","Mar",0.429438379531095,0.145937523708333,0.15460230725,0.18254403175,0.171931874333333,0.109331015666667,"warmed",6.06247826088955,5.20699141378467,5.1470983188959,4.69438012132062,4.98317861031859,5.04085606003937
"C12","Apr",0.17167573596334,0.2299683505,0.235138765,0.30709887825,0.245479594,0.15283782275,"warmed",5.14560744145453,5.72716977472112,5.50321382361697,5.02937737718804,5.43794169293281,5.46017582923562
